Lattice size,Block size,Input time for GPU,total iterations (GPU),Processing time for GPU,GPU Gflops,Output time for GPU,Total time for GPU,
32,4,0.445984,2606,44.078400,0.372468,0.370528,44.894913,
32,8,0.449984,2606,43.326817,0.378929,0.368992,44.145794,
32,16,0.461728,2606,44.782242,0.366614,0.368960,45.612930,
32,32,0.437088,2606,62.370590,0.263230,0.365408,63.173088,
64,4,0.459616,9745,240.620163,1.089761,0.376032,241.455811,
64,8,0.450528,9745,234.565979,1.117888,0.376288,235.392792,
64,16,0.448736,9745,235.896164,1.111584,0.376832,236.721725,
64,32,0.461920,9746,239.271805,1.096015,0.378304,240.112030,
128,4,0.505600,35073,966.957947,4.030923,0.400864,967.864441,
128,8,0.514752,35073,804.380798,4.845631,0.377888,805.273438,
128,16,0.504544,35073,791.038269,4.927363,0.375968,791.918762,
128,32,0.452736,35073,792.358948,4.919150,0.374080,793.185791,
256,4,0.638656,124611,5757.869629,9.773723,0.544064,5759.052246,
256,8,0.646560,124611,3545.399170,15.872916,0.542976,3546.588623,
256,16,0.649984,124611,3274.562500,17.185753,0.549504,3275.761963,
256,32,0.652448,124611,4093.542480,13.747463,0.552320,4094.747070,
512,4,1.421760,423553,61116.113281,12.617997,1.249056,61118.785156,
512,8,1.405504,423553,28293.888672,27.255460,1.237984,28296.533203,
512,16,1.427936,423553,24367.263672,31.647499,1.234048,24369.925781,
512,32,1.419680,423553,26425.638672,29.182377,1.236224,26428.294922,
